14,wrapped-bitcoin,"$18,493.48 ",1.16%,$ 2.30 B,$ 107.03 M,124.26 K WBTC,,Add to Watchlist
,Wrapped Bitcoin,,,,,,,Buy Now
,WBTC,,,,,,,Sell Now
15,stellar,$0.11 ,3.42%,$ 2.25 B,$ 676.68 M,21.02 B XLM,,Add to Watchlist
,Stellar,,,,,,,Buy Now
,XLM,,,,,,,Sell Now
16,monero,$125.55 ,1.58%,$ 2.23 B,$ 396.52 M,17.76 M XMR,,Add to Watchlist
,Monero,,,,,,,Buy Now
,XMR,,,,,,,Sell Now
17,tron,$0.03 ,0.36%,$ 2.09 B,$ 1.55 B,71.66 B TRX,,Add to Watchlist
,TRON,,,,,,,Buy Now
,TRX,,,,,,,Sell Now
18,tezos,$2.31 ,1.37%,$ 1.74 B,$ 214.12 M,750.88 M XTZ,,Add to Watchlist
,Tezos,,,,,,,Buy Now
,XTZ,,,,,,,Sell Now
19,cdai,$0.02 ,0.12%,$ 1.69 B,$ 2.58 M,81.48 B CDAI,,Add to Watchlist
,cDAI,,,,,,,Buy Now
,CDAI,,,,,,,Sell Now
20,okb,$6.15 ,3.58%,$ 1.69 B,$ 125.77 M,275.51 M OKB,,Add to Watchlist
,OKB,,,,,,,Buy Now
,OKB,,,,,,,Sell Now
21,crypto-com-chain,$0.07 ,3.20%,$ 1.56 B,$ 55.77 M,21.81 B CRO,,Add to Watchlist
,Crypto.com Coin,,,,,,,Buy Now
,CRO,,,,,,,Sell Now
22,cosmos,$5.56 ,3.37%,$ 1.33 B,$ 323.43 M,238.53 M ATOM,,Add to Watchlist
,Cosmos,,,,,,,Buy Now
,ATOM,,,,,,,Sell Now
23,leo-token,$1.27 ,0.25%,$ 1.25 B,$ 17.11 M,974.11 M LEO,,Add to Watchlist
,LEO Token,,,,,,,Buy Now
,LEO,,,,,,,Sell Now
24,neo,$17.58 ,2.25%,$ 1.24 B,$ 489.96 M,70.53 M NEO,,Add to Watchlist
,NEO,,,,,,,Buy Now
,NEO,,,,,,,Sell Now
25,nem,$0.13 ,0.45%,$ 1.18 B,$ 45.84 M,9.00 B XEM,,Add to Watchlist
,NEM,,,,,,,Buy Now
,XEM,,,,,,,Sell Now
26,filecoin,$29.16 ,2.36%,$ 1.14 B,$ 80.10 M,39.11 M FIL,,Add to Watchlist
,Filecoin,,,,,,,Buy Now
,FIL,,,,,,,Sell Now
27,dai,$1.00 ,0.12%,$ 1.02 B,$ 154.23 M,1.02 B DAI,,Add to Watchlist
,Dai,,,,,,,Buy Now
,DAI,,,,,,,Sell Now
28,huobi-token,$4.24 ,2.03%,$ 991.95 M,$ 169.93 M,233.37 M HT,,Add to Watchlist
,Huobi Token,,,,,,,Buy Now
,HT,,,,,,,Sell Now
29,celsius-degree-token,$2.40 ,2.61%,$ 905.73 M,$ 6.78 M,380.14 M CEL,,Add to Watchlist
,Celsius Network,,,,,,,Buy Now
,CEL,,,,,,,Sell Now
30,vechain,$0.01 ,2.11%,$ 905.32 M,$ 166.65 M,64.85 B VET,,Add to Watchlist
,VeChain,,,,,,,Buy Now
,VET,,,,,,,Sell Now
31,dash,$92.02 ,1.56%,$ 901.58 M,$ 612.02 M,9.83 M DASH,,Add to Watchlist
,Dash,,,,,,,Buy Now
,DASH,,,,,,,Sell Now
32,iota,$0.32 ,4.05%,$ 900.21 M,$ 44.60 M,2.78 B MIOTA,,Add to Watchlist
,IOTA,,,,,,,Buy Now
,MIOTA,,,,,,,Sell Now
33,aave,$74.13 ,0.76%,$ 879.76 M,$ 225.66 M,11.85 M AAVE,,Add to Watchlist
,Aave,,,,,,,Buy Now
,AAVE,,,,,,,Sell Now
34,uniswap,$3.70 ,1.91%,$ 798.97 M,$ 380.62 M,215.06 M UNI,,Add to Watchlist
,Uniswap,,,,,,,Buy Now
,UNI,,,,,,,Sell Now
35,yearn-finance,"$26,382.00 ",1.73%,$ 788.30 M,$ 1.34 B,30.00 K YFI,,Add to Watchlist
,yearn.finance,,,,,,,Buy Now
,YFI,,,,,,,Sell Now
36,waves,$7.45 ,17.64%,$ 737.45 M,$ 267.15 M,100.00 M WAVES,,Add to Watchlist
,Waves,,,,,,,Buy Now
,WAVES,,,,,,,Sell Now
37,zcash,$69.55 ,0.83%,$ 733.81 M,$ 821.53 M,10.53 M ZEC,,Add to Watchlist
,Zcash,,,,,,,Buy Now
,ZEC,,,,,,,Sell Now
38,ethereum-classic,$6.16 ,5.36%,$ 717.05 M,$ 811.70 M,116.32 M ETC,,Add to Watchlist
,Ethereum Classic,,,,,,,Buy Now
,ETC,,,,,,,Sell Now
39,compound-ether,$11.27 ,3.73%,$ 713.91 M,$ 7.34 M,63.34 M CETH,,Add to Watchlist
,cETH,,,,,,,Buy Now
,CETH,,,,,,,Sell Now
40,havven,$5.19 ,3.12%,$ 689.84 M,$ 76.56 M,132.50 M SNX,,Add to Watchlist
,Synthetix Network Token,,,,,,,Buy Now
,SNX,,,,,,,Sell Now
41,theta-token,$0.66 ,4.26%,$ 660.68 M,$ 33.15 M,"1,000.00 M THETA",,Add to Watchlist
,Theta Network,,,,,,,Buy Now
,THETA,,,,,,,Sell Now
42,binance-usd,$1.00 ,0.23%,$ 653.55 M,$ 1.05 B,655.17 M BUSD,,Add to Watchlist
,Binance USD,,,,,,,Buy Now
,BUSD,,,,,,,Sell Now
43,omisego,$3.97 ,1.59%,$ 557.37 M,$ 487.06 M,140.25 M OMG,,Add to Watchlist
,OMG Network,,,,,,,Buy Now
,OMG,,,,,,,Sell Now
44,maker,$581.53 ,6.81%,$ 524.99 M,$ 60.56 M,909.13 K MKR,,Add to Watchlist
,Maker,,,,,,,Buy Now
,MKR,,,,,,,Sell Now
45,compound-governance-token,$122.00 ,2.56%,$ 481.12 M,$ 61.69 M,3.94 M COMP,,Add to Watchlist
,Compound,,,,,,,Buy Now
,COMP,,,,,,,Sell Now
46,uma,$8.45 ,1.76%,$ 468.35 M,$ 15.34 M,55.50 M UMA,,Add to Watchlist
,UMA,,,,,,,Buy Now
,UMA,,,,,,,Sell Now
47,dogecoin,$0.00 ,0.63%,$ 437.56 M,$ 161.91 M,127.21 B DOGE,,Add to Watchlist
,Dogecoin,,,,,,,Buy Now
,DOGE,,,,,,,Sell Now
48,ontology,$0.56 ,1.27%,$ 436.35 M,$ 218.82 M,778.57 M ONT,,Add to Watchlist
,Ontology,,,,,,,Buy Now
,ONT,,,,,,,Sell Now
49,paxos-standard,$1.00 ,0.09%,$ 405.30 M,$ 82.18 M,405.36 M PAX,,Add to Watchlist
,Paxos Standard,,,,,,,Buy Now
,PAX,,,,,,,Sell Now
50,ftx-token,$4.09 ,1.66%,$ 377.06 M,$ 5.43 M,92.03 M FTT,,Add to Watchlist
,FTX Token,,,,,,,Buy Now
,FTT,,,,,,,Sell Now
51,compound-usd-coin,$0.02 ,0.03%,$ 364.74 M,$ 4.69 M,17.18 B CUSDC,,Add to Watchlist
,cUSDC,,,,,,,Buy Now
,CUSDC,,,,,,,Sell Now
52,kusama,$39.61 ,2.19%,$ 355.54 M,$ 35.92 M,8.98 M KSM,,Add to Watchlist
,Kusama,,,,,,,Buy Now
,KSM,,,,,,,Sell Now
53,aave-link,$14.79 ,3.40%,$ 330.89 M,$ 6.84 M,0.00 ALINK,,Add to Watchlist
,Aave LINK,,,,,,,Buy Now
,ALINK,,,,,,,Sell Now
54,basic-attention-token,$0.22 ,0.06%,$ 329.22 M,$ 140.63 M,1.48 B BAT,,Add to Watchlist
,Basic Attention Token,,,,,,,Buy Now
,BAT,,,,,,,Sell Now
55,true-usd,$1.00 ,0.14%,$ 325.04 M,$ 123.00 M,325.01 M TUSD,,Add to Watchlist
,TrueUSD,,,,,,,Buy Now
,TUSD,,,,,,,Sell Now
56,renbtc,"$18,499.09 ",1.55%,$ 319.76 M,$ 5.07 M,17.26 K RENBTC,,Add to Watchlist
,renBTC,,,,,,,Buy Now
,RENBTC,,,,,,,Sell Now
57,digibyte,$0.02 ,0.72%,$ 304.86 M,$ 14.95 M,13.77 B DGB,,Add to Watchlist
,DigiByte,,,,,,,Buy Now
,DGB,,,,,,,Sell Now
58,republic-protocol,$0.34 ,0.51%,$ 301.82 M,$ 58.13 M,881.15 M REN,,Add to Watchlist
,REN,,,,,,,Buy Now
,REN,,,,,,,Sell Now
59,0x,$0.40 ,1.62%,$ 300.94 M,$ 58.26 M,743.94 M ZRX,,Add to Watchlist
,0x,,,,,,,Buy Now
,ZRX,,,,,,,Sell Now
60,decred,$22.07 ,4.23%,$ 270.27 M,$ 10.31 M,12.28 M DCR,,Add to Watchlist
,Decred,,,,,,,Buy Now
,DCR,,,,,,,Sell Now
61,qtum,$2.60 ,3.09%,$ 267.07 M,$ 219.12 M,102.93 M QTUM,,Add to Watchlist
,Qtum,,,,,,,Buy Now
,QTUM,,,,,,,Sell Now
62,zilliqa,$0.02 ,2.54%,$ 260.28 M,$ 41.86 M,11.42 B ZIL,,Add to Watchlist
,Zilliqa,,,,,,,Buy Now
,ZIL,,,,,,,Sell Now
63,husd,$1.00 ,0.20%,$ 247.90 M,$ 57.96 M,247.98 M HUSD,,Add to Watchlist
,HUSD,,,,,,,Buy Now
,HUSD,,,,,,,Sell Now
64,algorand,$0.30 ,4.34%,$ 243.57 M,$ 141.09 M,803.09 M ALGO,,Add to Watchlist
,Algorand,,,,,,,Buy Now
,ALGO,,,,,,,Sell Now
65,energy-web-token,$7.57 ,1.65%,$ 238.00 M,$ 836.72 K,31.42 M EWT,,Add to Watchlist
,Energy Web Token,,,,,,,Buy Now
,EWT,,,,,,,Sell Now
66,loopring,$0.20 ,0.05%,$ 231.83 M,$ 42.03 M,1.19 B LRC,,Add to Watchlist
,Loopring,,,,,,,Buy Now
,LRC,,,,,,,Sell Now
67,icon,$0.39 ,0.70%,$ 225.16 M,$ 25.13 M,573.71 M ICX,,Add to Watchlist
,ICON,,,,,,,Buy Now
,ICX,,,,,,,Sell Now
68,reserve-rights-token,$0.02 ,3.51%,$ 223.24 M,$ 97.26 M,9.35 B RSR,,Add to Watchlist
,Reserve Rights Token,,,,,,,Buy Now
,RSR,,,,,,,Sell Now
69,near,$1.10 ,5.57%,$ 217.12 M,$ 55.54 M,197.98 M NEAR,,Add to Watchlist
,Near,,,,,,,Buy Now
,NEAR,,,,,,,Sell Now
70,aave-eth,$411.92 ,0.00%,$ 210.21 M,$0.00 ,0.00 AETH,,Add to Watchlist
,Aave ETH,,,,,,,Buy Now
,AETH,,,,,,,Sell Now
71,bittorrent-2,$0.00 ,1.86%,$ 208.40 M,$ 81.03 M,659.07 B BTT,,Add to Watchlist
,BitTorrent,,,,,,,Buy Now
,BTT,,,,,,,Sell Now
72,kyber-network,$1.02 ,1.38%,$ 205.29 M,$ 41.14 M,200.25 M KNC,,Add to Watchlist
,Kyber Network,,,,,,,Buy Now
,KNC,,,,,,,Sell Now
73,sushi,$1.64 ,3.19%,$ 203.41 M,$ 158.77 M,123.32 M SUSHI,,Add to Watchlist
,Sushi,,,,,,,Buy Now
,SUSHI,,,,,,,Sell Now
74,ampleforth,$1.23 ,1.38%,$ 203.05 M,$ 3.38 M,169.64 M AMPL,,Add to Watchlist
,Ampleforth,,,,,,,Buy Now
,AMPL,,,,,,,Sell Now
75,nxm,$28.58 ,0.37%,$ 202.58 M,$ 1.35 M,7.07 M NXM,,Add to Watchlist
,Nexus Mutual,,,,,,,Buy Now
,NXM,,,,,,,Sell Now
76,hedera-hashgraph,$0.03 ,2.26%,$ 201.38 M,$ 6.07 M,6.06 B HBAR,,Add to Watchlist
,Hedera Hashgraph,,,,,,,Buy Now
,HBAR,,,,,,,Sell Now
77,thorchain,$0.90 ,4.54%,$ 195.76 M,$ 17.90 M,218.20 M RUNE,,Add to Watchlist
,THORChain,,,,,,,Buy Now
,RUNE,,,,,,,Sell Now
78,blockstack,$0.21 ,3.40%,$ 194.39 M,$ 1.69 M,918.01 M STX,,Add to Watchlist
,Blockstack,,,,,,,Buy Now
,STX,,,,,,,Sell Now
79,vitae,$8.90 ,5.53%,$ 191.84 M,$ 1.39 M,21.55 M VITAE,,Add to Watchlist
,Vitae,,,,,,,Buy Now
,VITAE,,,,,,,Sell Now
80,ocean-protocol,$0.52 ,6.08%,$ 181.80 M,$ 32.59 M,347.27 M OCEAN,,Add to Watchlist
,Ocean Protocol,,,,,,,Buy Now
,OCEAN,,,,,,,Sell Now
81,lisk,$1.24 ,2.32%,$ 177.39 M,$ 5.40 M,142.48 M LSK,,Add to Watchlist
,Lisk,,,,,,,Buy Now
,LSK,,,,,,,Sell Now
82,numeraire,$33.40 ,17.82%,$ 174.27 M,$ 47.89 M,5.20 M NMR,,Add to Watchlist
,Numeraire,,,,,,,Buy Now
,NMR,,,,,,,Sell Now
83,quant-network,$13.85 ,8.10%,$ 171.76 M,$ 6.01 M,12.36 M QNT,,Add to Watchlist
,Quant,,,,,,,Buy Now
,QNT,,,,,,,Sell Now
84,terra-luna,$0.36 ,1.96%,$ 168.00 M,$ 15.71 M,472.63 M LUNA,,Add to Watchlist
,Terra,,,,,,,Buy Now
,LUNA,,,,,,,Sell Now
85,balancer,$17.56 ,9.71%,$ 167.28 M,$ 92.25 M,9.52 M BAL,,Add to Watchlist
,Balancer,,,,,,,Buy Now
,BAL,,,,,,,Sell Now
86,bitcoin-gold,$9.44 ,3.28%,$ 164.94 M,$ 11.35 M,17.51 M BTG,,Add to Watchlist
,Bitcoin Gold,,,,,,,Buy Now
,BTG,,,,,,,Sell Now
87,band-protocol,$6.95 ,4.86%,$ 156.98 M,$ 153.15 M,22.57 M BAND,,Add to Watchlist
,Band Protocol,,,,,,,Buy Now
,BAND,,,,,,,Sell Now
88,aave-usdc,$0.99 ,0.91%,$ 148.88 M,$ 47.80 M,0.00 AUSDC,,Add to Watchlist
,Aave USDC,,,,,,,Buy Now
,AUSDC,,,,,,,Sell Now
89,aragon,$4.03 ,18.38%,$ 140.08 M,$ 58.91 M,34.64 M ANT,,Add to Watchlist
,Aragon,,,,,,,Buy Now
,ANT,,,,,,,Sell Now
90,nexo,$0.25 ,1.68%,$ 140.00 M,$ 7.45 M,560.00 M NEXO,,Add to Watchlist
,NEXO,,,,,,,Buy Now
,NEXO,,,,,,,Sell Now
91,siacoin,$0.00 ,2.33%,$ 134.66 M,$ 4.52 M,45.07 B SC,,Add to Watchlist
,Siacoin,,,,,,,Buy Now
,SC,,,,,,,Sell Now
92,enjincoin,$0.15 ,2.21%,$ 134.62 M,$ 10.63 M,923.13 M ENJ,,Add to Watchlist
,Enjin Coin,,,,,,,Buy Now
,ENJ,,,,,,,Sell Now
93,status,$0.03 ,12.55%,$ 131.36 M,$ 61.72 M,3.88 B SNT,,Add to Watchlist
,Status,,,,,,,Buy Now
,SNT,,,,,,,Sell Now
94,empty-set-dollar,$0.90 ,1.28%,$ 119.24 M,$ 1.59 M,131.79 M ESD,,Add to Watchlist
,Empty Set Dollar,,,,,,,Buy Now
,ESD,,,,,,,Sell Now
95,elrond-erd-2,$8.10 ,1.44%,$ 116.91 M,$ 13.20 M,14.46 M EGLD,,Add to Watchlist
,Elrond,,,,,,,Buy Now
,EGLD,,,,,,,Sell Now
96,nano,$0.87 ,3.34%,$ 116.01 M,$ 14.69 M,133.25 M NANO,,Add to Watchlist
,Nano,,,,,,,Buy Now
,NANO,,,,,,,Sell Now
97,arweave,$2.59 ,2.60%,$ 113.46 M,$ 4.05 M,43.83 M AR,,Add to Watchlist
,Arweave,,,,,,,Buy Now
,AR,,,,,,,Sell Now
98,golem,$0.11 ,3.46%,$ 111.66 M,$ 16.35 M,990.67 M GNT,,Add to Watchlist
,Golem,,,,,,,Buy Now
,GNT,,,,,,,Sell Now
99,bytom,$0.07 ,4.55%,$ 110.49 M,$ 27.10 M,1.64 B BTM,,Add to Watchlist
,Bytom,,,,,,,Buy Now
,BTM,,,,,,,Sell Now
100,huobi-btc,"$18,382.65 ",1.54%,$ 110.41 M,$ 30.49 K,6.01 K HBTC,,Add to Watchlist
,Huobi BTC,,,,,,,Buy Now
,HBTC,,,,,,,Sell Now
Previous 100,,,,,,,,
Next 100 ,,,,,,,,
Contact Us | Privacy Policy | Disclaimer,,,,,,,,
Crypto Prices Logo,,,,,,,,
CryptoPrices © 2019. All Rights Reserved.,,,,,,,,
,,,,,,,,
Crypto Prices © 2020. All Rights Reserved.,,,,,,,,
